# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/vnd.afpc.modca-pagesegment	vnd.afpc.modca-pagesegment
application/vnd.age	vnd.age
application/vnd.ah-barcode	vnd.ah-barcode
application/vnd.ahead.space	ahead
application/vnd.aia	vnd.aia
application/vnd.airzip.filesecure.azf	azf
application/vnd.airzip.filesecure.azs	azs
application/vnd.amadeus+json	vnd.amadeus+json
application/vnd.amazon.mobi8-ebook	vnd.amazon.mobi8-ebook
application/vnd.americandynamics.acc	acc
application/vnd.amiga.ami	ami
application/vnd.amundsen.maze+xml	vnd.amundsen.maze+xml
application/vnd.android.ota	vnd.android.ota
application/vnd.anki	vnd.anki
application/vnd.anser-web-certificate-issue-initiation	cii
application/vnd.antix.game-component	atx
application/vnd.apache.arrow.file	vnd.apache.arrow.file
application/vnd.apache.arrow.stream	vnd.apache.arrow.stream
application/vnd.apache.parquet	vnd.apache.parquet
application/vnd.apache.thrift.binary	vnd.apache.thrift.binary
application/vnd.apache.thrift.compact	vnd.apache.thrift.compact
application/vnd.apache.thrift.json	vnd.apache.thrift.json
application/vnd.apexlang	vnd.apexlang
application/vnd.api+json	vnd.api+json
application/vnd.aplextor.warrp+json	vnd.aplextor.warrp+json
application/vnd.apothekende.reservation+json	vnd.apothekende.reservation+json
application/vnd.apple.installer+xml	mpkg
application/vnd.apple.keynote	vnd.apple.keynote
application/vnd.apple.mpegurl	m3u8
application/vnd.apple.numbers	vnd.apple.numbers
application/vnd.apple.pages	vnd.apple.pages
application/vnd.arastra.swi	vnd.arastra.swi
application/vnd.aristanetworks.swi	swi
application/vnd.artisan+json	vnd.artisan+json
application/vnd.artsquare	vnd.artsquare
application/vnd.as207960.vas.config+jer	vnd.as207960.vas.config+jer
application/vnd.as207960.vas.config+uper	vnd.as207960.vas.config+uper
application/vnd.as207960.vas.tap+jer	vnd.as207960.vas.tap+jer
application/vnd.as207960.vas.tap+uper	vnd.as207960.vas.tap+uper
application/vnd.astraea-software.iota	iota
application/vnd.audiograph	aep
application/vnd.autopackage	vnd.autopackage
application/vnd.avalon+json	vnd.avalon+json
application/vnd.avistar+xml	vnd.avistar+xml
application/vnd.balsamiq.bmml+xml	vnd.balsamiq.bmml+xml
application/vnd.balsamiq.bmpr	vnd.balsamiq.bmpr
application/vnd.banana-accounting	vnd.banana-accounting
application/vnd.bbf.usp.error	vnd.bbf.usp.error
application/vnd.bbf.usp.msg	vnd.bbf.usp.msg
application/vnd.bbf.usp.msg+json	vnd.bbf.usp.msg+json
application/vnd.bekitzur-stech+json	vnd.bekitzur-stech+json
application/vnd.belightsoft.lhzd+zip	vnd.belightsoft.lhzd+zip
application/vnd.belightsoft.lhzl+zip	vnd.belightsoft.lhzl+zip
application/vnd.bint.med-content	vnd.bint.med-content
application/vnd.biopax.rdf+xml	vnd.biopax.rdf+xml
application/vnd.blink-idb-value-wrapper	vnd.blink-idb-value-wrapper
application/vnd.blueice.multipass	mpm
application/vnd.bluetooth.ep.oob	vnd.bluetooth.ep.oob
application/vnd.bluetooth.le.oob	vnd.bluetooth.le.oob
application/vnd.bmi	bmi
application/vnd.bpf	vnd.bpf
application/vnd.bpf3	vnd.bpf3
application/vnd.businessobjects	rep
application/vnd.byu.uapi+json	vnd.byu.uapi+json
application/vnd.bzip3	vnd.bzip3
application/vnd.c3voc.schedule+xml	vnd.c3voc.schedule+xml
application/vnd.cab-jscript	vnd.cab-jscript
application/vnd.canon-cpdl	vnd.canon-cpdl
application/vnd.canon-lips	vnd.canon-lips
application/vnd.capasystems-pg+json	vnd.capasystems-pg+json
application/vnd.cel	vnd.cel
application/vnd.cendio.thinlinc.clientconf	vnd.cendio.thinlinc.clientconf
application/vnd.century-systems.tcp_stream	vnd.century-systems.tcp_stream
application/vnd.chemdraw+xml	cdxml
application/vnd.chess-pgn	vnd.chess-pgn
application/vnd.chipnuts.karaoke-mmd	mmd
application/vnd.ciedi	vnd.ciedi
application/vnd.cinderella	cdy
application/vnd.cirpack.isdn-ext	vnd.cirpack.isdn-ext
application/vnd.citationstyles.style+xml	vnd.citationstyles.style+xml
application/vnd.claymore	cla
application/vnd.cloanto.rp9	rp9
application/vnd.clonk.c4group	c4g c4d c4f c4p c4u
application/vnd.cluetrust.cartomobile-config	c11amc
application/vnd.cluetrust.cartomobile-config-pkg	c11amz
application/vnd.cmmf-configuration-information+json	vnd.cmmf-configuration-information+json
application/vnd.cmmf-efd+xml	vnd.cmmf-efd+xml
application/vnd.cmmf-encoder-configuration+json	vnd.cmmf-encoder-configuration+json
application/vnd.cncf.helm.chart.content.v1.tar+gzip	vnd.cncf.helm.chart.content.v1.tar+gzip
application/vnd.cncf.helm.chart.provenance.v1.prov	vnd.cncf.helm.chart.provenance.v1.prov
application/vnd.cncf.helm.config.v1+json	vnd.cncf.helm.config.v1+json
application/vnd.coffeescript	vnd.coffeescript
application/vnd.collabio.xodocuments.document	vnd.collabio.xodocuments.document
application/vnd.collabio.xodocuments.document-template	vnd.collabio.xodocuments.document-template
application/vnd.collabio.xodocuments.presentation	vnd.collabio.xodocuments.presentation
application/vnd.collabio.xodocuments.presentation-template	vnd.collabio.xodocuments.presentation-template
application/vnd.collabio.xodocuments.spreadsheet	vnd.collabio.xodocuments.spreadsheet
application/vnd.collabio.xodocuments.spreadsheet-template	vnd.collabio.xodocuments.spreadsheet-template
application/vnd.collection+json	vnd.collection+json
application/vnd.collection.doc+json	vnd.collection.doc+json
application/vnd.collection.next+json	vnd.collection.next+json
application/vnd.comicbook+zip	vnd.comicbook+zip
application/vnd.comicbook-rar	vnd.comicbook-rar
application/vnd.commerce-battelle	vnd.commerce-battelle
application/vnd.commonspace	csp
application/vnd.contact.cmsg	cdbcmsg
application/vnd.coreos.ignition+json	vnd.coreos.ignition+json
application/vnd.cosmocaller	cmc
application/vnd.crick.clicker	clkx
application/vnd.crick.clicker.keyboard	clkk
application/vnd.crick.clicker.palette	clkp
application/vnd.crick.clicker.template	clkt
application/vnd.crick.clicker.wordbank	clkw
application/vnd.criticaltools.wbs+xml	wbs
application/vnd.cryptii.pipe+json	vnd.cryptii.pipe+json
application/vnd.crypto-shade-file	vnd.crypto-shade-file
application/vnd.cryptomator.encrypted	vnd.cryptomator.encrypted
application/vnd.cryptomator.vault	vnd.cryptomator.vault
application/vnd.ctc-posml	pml
application/vnd.ctct.ws+xml	vnd.ctct.ws+xml
application/vnd.cups-pdf	vnd.cups-pdf
application/vnd.cups-postscript	vnd.cups-postscript
application/vnd.cups-ppd	ppd
application/vnd.cups-raster	vnd.cups-raster
application/vnd.cups-raw	vnd.cups-raw
application/vnd.curl	vnd.curl
application/vnd.cyan.dean.root+xml	vnd.cyan.dean.root+xml
application/vnd.cybank	vnd.cybank
application/vnd.cyclonedx+json	vnd.cyclonedx+json
application/vnd.cyclonedx+xml	vnd.cyclonedx+xml
application/vnd.d2l.coursepackage1p0+zip	vnd.d2l.coursepackage1p0+zip
application/vnd.d3m-dataset	vnd.d3m-dataset
application/vnd.d3m-problem	vnd.d3m-problem
application/vnd.dart	dart
application/vnd.data-vision.rdz	rdz
application/vnd.datalog	vnd.datalog
application/vnd.datapackage+json	vnd.datapackage+json
application/vnd.dataresource+json	vnd.dataresource+json
application/vnd.dbf	vnd.dbf
application/vnd.dcmp+xml	vnd.dcmp+xml
application/vnd.debian.binary-package	vnd.debian.binary-package
application/vnd.dece.data	uvf uvvf uvd uvvd
application/vnd.dece.ttml+xml	uvt uvvt
application/vnd.dece.unspecified	uvx uvvx
application/vnd.dece.zip	uvz uvvz
application/vnd.denovo.fcselayout-link	fe_launch
application/vnd.desmume.movie	vnd.desmume.movie
application/vnd.deut+json	vnd.deut+json
application/vnd.dir-bi.plate-dl-nosuffix	vnd.dir-bi.plate-dl-nosuffix
application/vnd.dm.delegation+xml	vnd.dm.delegation+xml
application/vnd.dna	dna
application/vnd.document+json	vnd.document+json
application/vnd.dolby.mobile.1	vnd.dolby.mobile.1
application/vnd.dolby.mobile.2	vnd.dolby.mobile.2
application/vnd.doremir.scorecloud-binary-document	vnd.doremir.scorecloud-binary-document
application/vnd.dpgraph	dpg
application/vnd.dreamfactory	dfac
application/vnd.drive+json	vnd.drive+json
application/vnd.dtg.local	vnd.dtg.local
application/vnd.dtg.local.flash	vnd.dtg.local.flash
application/vnd.dtg.local.html	vnd.dtg.local.html
application/vnd.dvb.ait	ait
application/vnd.dvb.dvbisl+xml	vnd.dvb.dvbisl+xml
application/vnd.dvb.dvbj	vnd.dvb.dvbj
application/vnd.dvb.esgcontainer	vnd.dvb.esgcontainer
application/vnd.dvb.ipdcdftnotifaccess	vnd.dvb.ipdcdftnotifaccess
application/vnd.dvb.ipdcesgaccess	vnd.dvb.ipdcesgaccess
application/vnd.dvb.ipdcesgaccess2	vnd.dvb.ipdcesgaccess2
application/vnd.dvb.ipdcesgpdd	vnd.dvb.ipdcesgpdd
application/vnd.dvb.ipdcroaming	vnd.dvb.ipdcroaming
application/vnd.dvb.iptv.alfec-base	vnd.dvb.iptv.alfec-base
application/vnd.dvb.iptv.alfec-enhancement	vnd.dvb.iptv.alfec-enhancement
application/vnd.dvb.notif-aggregate-root+xml	vnd.dvb.notif-aggregate-root+xml
application/vnd.dvb.notif-container+xml	vnd.dvb.notif-container+xml
application/vnd.dvb.notif-generic+xml	vnd.dvb.notif-generic+xml
application/vnd.dvb.notif-ia-msglist+xml	vnd.dvb.notif-ia-msglist+xml
application/vnd.dvb.notif-ia-registration-request+xml	vnd.dvb.notif-ia-registration-request+xml
application/vnd.dvb.notif-ia-registration-response+xml	vnd.dvb.notif-ia-registration-response+xml
application/vnd.dvb.notif-init+xml	vnd.dvb.notif-init+xml
application/vnd.dvb.pfr	vnd.dvb.pfr
application/vnd.dvb.service	svc
application/vnd.dxr	vnd.dxr
application/vnd.dynageo	geo
application/vnd.dzr	vnd.dzr
application/vnd.easykaraoke.cdgdownload	vnd.easykaraoke.cdgdownload
application/vnd.ecdis-update	vnd.ecdis-update
application/vnd.ecip.rlp	vnd.ecip.rlp
application/vnd.eclipse.ditto+json	vnd.eclipse.ditto+json
application/vnd.ecowin.chart	mag
application/vnd.ecowin.filerequest	vnd.ecowin.filerequest
application/vnd.ecowin.fileupdate	vnd.ecowin.fileupdate
application/vnd.ecowin.series	vnd.ecowin.series
application/vnd.ecowin.seriesrequest	vnd.ecowin.seriesrequest
application/vnd.ecowin.seriesupdate	vnd.ecowin.seriesupdate
application/vnd.edulith.edux+json	vnd.edulith.edux+json
application/vnd.efi.img	vnd.efi.img
application/vnd.efi.iso	vnd.efi.iso
application/vnd.eln+zip	vnd.eln+zip
application/vnd.emclient.accessrequest+xml	vnd.emclient.accessrequest+xml
application/vnd.enliven	nml
application/vnd.enphase.envoy	vnd.enphase.envoy
application/vnd.eprints.data+xml	vnd.eprints.data+xml
application/vnd.epson.esf	esf
application/vnd.epson.msf	msf
application/vnd.epson.quickanime	qam
application/vnd.epson.salt	slt
application/vnd.epson.ssf	ssf
application/vnd.ericsson.quickcall	vnd.ericsson.quickcall
application/vnd.erofs	vnd.erofs
application/vnd.espass-espass+zip	vnd.espass-espass+zip
application/vnd.eszigno3+xml	es3 et3
application/vnd.etsi.aoc+xml	vnd.etsi.aoc+xml
application/vnd.etsi.asic-e+zip	vnd.etsi.asic-e+zip
application/vnd.etsi.asic-s+zip	vnd.etsi.asic-s+zip
application/vnd.etsi.cug+xml	vnd.etsi.cug+xml
application/vnd.etsi.iptvcommand+xml	vnd.etsi.iptvcommand+xml
application/vnd.etsi.iptvdiscovery+xml	vnd.etsi.iptvdiscovery+xml
application/vnd.etsi.iptvprofile+xml	vnd.etsi.iptvprofile+xml
application/vnd.etsi.iptvsad-bc+xml	vnd.etsi.iptvsad-bc+xml
application/vnd.etsi.iptvsad-cod+xml	vnd.etsi.iptvsad-cod+xml
application/vnd.etsi.iptvsad-npvr+xml	vnd.etsi.iptvsad-npvr+xml
application/vnd.etsi.iptvservice+xml	vnd.etsi.iptvservice+xml
application/vnd.etsi.iptvsync+xml	vnd.etsi.iptvsync+xml
application/vnd.etsi.iptvueprofile+xml	vnd.etsi.iptvueprofile+xml
application/vnd.etsi.mcid+xml	vnd.etsi.mcid+xml
application/vnd.etsi.mheg5	vnd.etsi.mheg5
application/vnd.etsi.overload-control-policy-dataset+xml	vnd.etsi.overload-control-policy-dataset+xml
application/vnd.etsi.pstn+xml	vnd.etsi.pstn+xml
application/vnd.etsi.sci+xml	vnd.etsi.sci+xml
application/vnd.etsi.simservs+xml	vnd.etsi.simservs+xml
application/vnd.etsi.timestamp-token	vnd.etsi.timestamp-token
application/vnd.etsi.tsl+xml	vnd.etsi.tsl+xml
application/vnd.etsi.tsl.der	vnd.etsi.tsl.der
application/vnd.eu.kasparian.car+json	vnd.eu.kasparian.car+json
application/vnd.eudora.data	vnd.eudora.data
application/vnd.evolv.ecig.profile	vnd.evolv.ecig.profile
application/vnd.evolv.ecig.settings	vnd.evolv.ecig.settings
application/vnd.evolv.ecig.theme	vnd.evolv.ecig.theme
application/vnd.exstream-empower+zip	vnd.exstream-empower+zip
application/vnd.exstream-package	vnd.exstream-package
application/vnd.ezpix-album	ez2
application/vnd.ezpix-package	ez3
application/vnd.f-secure.mobile	vnd.f-secure.mobile
application/vnd.faf+yaml	vnd.faf+yaml
application/vnd.familysearch.gedcom+zip	vnd.familysearch.gedcom+zip
application/vnd.fastcopy-disk-image	vnd.fastcopy-disk-image
application/vnd.fdsn.mseed	mseed
application/vnd.fdsn.seed	seed dataless
application/vnd.fdsn.stationxml+xml	vnd.fdsn.stationxml+xml
application/vnd.ffsns	vnd.ffsns
application/vnd.fgb	vnd.fgb
application/vnd.ficlab.flb+zip	vnd.ficlab.flb+zip
application/vnd.filmit.zfc	vnd.filmit.zfc
application/vnd.fints	vnd.fints
application/vnd.firemonkeys.cloudcell	vnd.firemonkeys.cloudcell
application/vnd.FloGraphIt	gph
application/vnd.fluxtime.clip	ftc
application/vnd.font-fontforge-sfd	vnd.font-fontforge-sfd
application/vnd.foritech.container	vnd.foritech.container
application/vnd.framemaker	fm frame maker book
application/vnd.freelog.comic	vnd.freelog.comic
application/vnd.frogans.fnc	fnc
application/vnd.frogans.ltf	ltf
application/vnd.fsc.weblaunch	fsc
application/vnd.fujifilm.fb.docuworks	vnd.fujifilm.fb.docuworks
application/vnd.fujifilm.fb.docuworks.binder	vnd.fujifilm.fb.docuworks.binder
application/vnd.fujifilm.fb.docuworks.container	vnd.fujifilm.fb.docuworks.container
application/vnd.fujifilm.fb.jfi+xml	vnd.fujifilm.fb.jfi+xml
application/vnd.fujitsu.oasys	oas
application/vnd.fujitsu.oasys2	oa2
application/vnd.fujitsu.oasys3	oa3
application/vnd.fujitsu.oasysgp	fg5
application/vnd.fujitsu.oasysprs	bh2
application/vnd.fujixerox.ART-EX	vnd.fujixerox.art-ex
application/vnd.fujixerox.ART4	vnd.fujixerox.art4
application/vnd.fujixerox.ddd	ddd
application/vnd.fujixerox.docuworks	xdw
application/vnd.fujixerox.docuworks.binder	xbd
application/vnd.fujixerox.docuworks.container	vnd.fujixerox.docuworks.container
application/vnd.fujixerox.HBPL	vnd.fujixerox.hbpl
application/vnd.fut-misnet	vnd.fut-misnet
application/vnd.futoin+cbor	vnd.futoin+cbor
application/vnd.futoin+json	vnd.futoin+json
application/vnd.fuzzysheet	fzs
application/vnd.g3pix.g3fc	vnd.g3pix.g3fc
application/vnd.ga4gh.passport+jwt	vnd.ga4gh.passport+jwt
application/vnd.genomatix.tuxedo	txd
application/vnd.genozip	vnd.genozip
application/vnd.gentics.grd+json	vnd.gentics.grd+json
application/vnd.gentoo.catmetadata+xml	vnd.gentoo.catmetadata+xml
application/vnd.gentoo.ebuild	vnd.gentoo.ebuild
application/vnd.gentoo.eclass	vnd.gentoo.eclass
application/vnd.gentoo.gpkg	vnd.gentoo.gpkg
application/vnd.gentoo.manifest	vnd.gentoo.manifest
application/vnd.gentoo.pkgmetadata+xml	vnd.gentoo.pkgmetadata+xml
application/vnd.gentoo.xpak	vnd.gentoo.xpak
application/vnd.geo+json	vnd.geo+json
application/vnd.geocube+xml	vnd.geocube+xml
application/vnd.geogebra.file	ggb
application/vnd.geogebra.pinboard	vnd.geogebra.pinboard
application/vnd.geogebra.slides	vnd.geogebra.slides
application/vnd.geogebra.tool	ggt
application/vnd.geometry-explorer	gex gre
application/vnd.geonext	gxt
application/vnd.geoplan	g2w
application/vnd.geospace	g3w
application/vnd.gerber	vnd.gerber
application/vnd.globalplatform.card-content-mgt	vnd.globalplatform.card-content-mgt
application/vnd.globalplatform.card-content-mgt-response	vnd.globalplatform.card-content-mgt-response
application/vnd.gmx	gmx
application/vnd.gnu.taler.exchange+json	vnd.gnu.taler.exchange+json
application/vnd.gnu.taler.merchant+json	vnd.gnu.taler.merchant+json
application/vnd.google-earth.kml+xml	kml
application/vnd.google-earth.kmz	kmz
application/vnd.gov.sk.e-form+xml	vnd.gov.sk.e-form+xml
application/vnd.gov.sk.e-form+zip	vnd.gov.sk.e-form+zip
application/vnd.gov.sk.xmldatacontainer+xml	vnd.gov.sk.xmldatacontainer+xml
application/vnd.gp3	vnd.gp3
application/vnd.gpxsee.map+xml	vnd.gpxsee.map+xml
application/vnd.grafeq	gqf gqs
application/vnd.gridmp	vnd.gridmp
application/vnd.groove-account	gac
application/vnd.groove-help	ghf
application/vnd.groove-identity-message	gim
application/vnd.groove-injector	grv
application/vnd.groove-tool-message	gtm
application/vnd.groove-tool-template	tpl
application/vnd.groove-vcard	vcg
application/vnd.hal+json	vnd.hal+json
application/vnd.hal+xml	hal
application/vnd.HandHeld-Entertainment+xml	zmm
application/vnd.hbci	hbci
application/vnd.hc+json	vnd.hc+json
application/vnd.hcl-bireports	vnd.hcl-bireports
application/vnd.hdfgroup.hdf4	vnd.hdfgroup.hdf4
application/vnd.hdfgroup.hdf5	vnd.hdfgroup.hdf5
application/vnd.hdt	vnd.hdt
application/vnd.heroku+json	vnd.heroku+json
application/vnd.hhe.lesson-player	les
application/vnd.hp-HPGL	hpgl
application/vnd.hp-hpid	hpid
application/vnd.hp-hps	hps
application/vnd.hp-jlyt	jlt
application/vnd.hp-PCL	pcl
application/vnd.hp-PCLXL	pclxl
application/vnd.hsl	vnd.hsl
application/vnd.httphone	vnd.httphone
application/vnd.hydrostatix.sof-data	sfd-hdstx
application/vnd.hyper+json	vnd.hyper+json
application/vnd.hyper-item+json	vnd.hyper-item+json
application/vnd.hyperdrive+json	vnd.hyperdrive+json
application/vnd.hzn-3d-crossword	vnd.hzn-3d-crossword
application/vnd.ibm.afplinedata	vnd.ibm.afplinedata
application/vnd.ibm.electronic-media	vnd.ibm.electronic-media
application/vnd.ibm.MiniPay	mpy
application/vnd.ibm.modcap	afp listafp list3820
application/vnd.ibm.rights-management	irm
application/vnd.ibm.secure-container	sc
application/vnd.iccprofile	icc icm
application/vnd.ieee.1905	vnd.ieee.1905
application/vnd.igloader	igl
application/vnd.imagemeter.folder+zip	vnd.imagemeter.folder+zip
application/vnd.imagemeter.image+zip	vnd.imagemeter.image+zip
application/vnd.immervision-ivp	ivp
application/vnd.immervision-ivu	ivu
application/vnd.ims.imsccv1p1	vnd.ims.imsccv1p1
application/vnd.ims.imsccv1p2	vnd.ims.imsccv1p2
application/vnd.ims.imsccv1p3	vnd.ims.imsccv1p3
application/vnd.ims.lis.v2.result+json	vnd.ims.lis.v2.result+json
application/vnd.ims.lti.v2.toolconsumerprofile+json	vnd.ims.lti.v2.toolconsumerprofile+json
application/vnd.ims.lti.v2.toolproxy+json	vnd.ims.lti.v2.toolproxy+json
application/vnd.ims.lti.v2.toolproxy.id+json	vnd.ims.lti.v2.toolproxy.id+json
application/vnd.ims.lti.v2.toolsettings+json	vnd.ims.lti.v2.toolsettings+json
application/vnd.ims.lti.v2.toolsettings.simple+json	vnd.ims.lti.v2.toolsettings.simple+json
application/vnd.informedcontrol.rms+xml	vnd.informedcontrol.rms+xml
application/vnd.informix-visionary	vnd.informix-visionary
application/vnd.infotech.project	vnd.infotech.project
application/vnd.infotech.project+xml	vnd.infotech.project+xml
application/vnd.innopath.wamp.notification	vnd.innopath.wamp.notification
application/vnd.insors.igm	igm
application/vnd.intercon.formnet	xpw xpx
application/vnd.intergeo	i2g
application/vnd.intertrust.digibox	vnd.intertrust.digibox
application/vnd.intertrust.nncp	vnd.intertrust.nncp
application/vnd.intu.qbo	qbo
application/vnd.intu.qfx	qfx
application/vnd.ipfs.ipns-record	vnd.ipfs.ipns-record
application/vnd.ipld.car	vnd.ipld.car
application/vnd.ipld.dag-cbor	vnd.ipld.dag-cbor
application/vnd.ipld.dag-json	vnd.ipld.dag-json
application/vnd.ipld.raw	vnd.ipld.raw
application/vnd.iptc.g2.catalogitem+xml	vnd.iptc.g2.catalogitem+xml
application/vnd.iptc.g2.conceptitem+xml	vnd.iptc.g2.conceptitem+xml
application/vnd.iptc.g2.knowledgeitem+xml	vnd.iptc.g2.knowledgeitem+xml
application/vnd.iptc.g2.newsitem+xml	vnd.iptc.g2.newsitem+xml
application/vnd.iptc.g2.newsmessage+xml	vnd.iptc.g2.newsmessage+xml
application/vnd.iptc.g2.packageitem+xml	vnd.iptc.g2.packageitem+xml
application/vnd.iptc.g2.planningitem+xml	vnd.iptc.g2.planningitem+xml
application/vnd.ipunplugged.rcprofile	rcprofile
application/vnd.irepository.package+xml	irp
application/vnd.is-xpr	xpr
application/vnd.isac.fcs	fcs
application/vnd.iso11783-10+zip	vnd.iso11783-10+zip
application/vnd.jam	jam
application/vnd.japannet-directory-service	vnd.japannet-directory-service
application/vnd.japannet-jpnstore-wakeup	vnd.japannet-jpnstore-wakeup
application/vnd.japannet-payment-wakeup	vnd.japannet-payment-wakeup
application/vnd.japannet-registration	vnd.japannet-registration
application/vnd.japannet-registration-wakeup	vnd.japannet-registration-wakeup
application/vnd.japannet-setstore-wakeup	vnd.japannet-setstore-wakeup
application/vnd.japannet-verification	vnd.japannet-verification
application/vnd.japannet-verification-wakeup	vnd.japannet-verification-wakeup
application/vnd.jcp.javame.midlet-rms	rms
application/vnd.jisp	jisp
application/vnd.joost.joda-archive	joda
application/vnd.jsk.isdn-ngn	vnd.jsk.isdn-ngn
application/vnd.kahootz	ktz ktr
application/vnd.kde.karbon	karbon
application/vnd.kde.kchart	chrt
application/vnd.kde.kformula	kfo
application/vnd.kde.kivio	flw
application/vnd.kde.kontour	kon
application/vnd.kde.kpresenter	kpr kpt
application/vnd.kde.kspread	ksp
application/vnd.kde.kword	kwd kwt
application/vnd.kdl	vnd.kdl
application/vnd.kenameaapp	htke
application/vnd.keyman.kmp+zip	vnd.keyman.kmp+zip
application/vnd.keyman.kmx	vnd.keyman.kmx
application/vnd.kidspiration	kia
application/vnd.Kinar	kne knp
application/vnd.koan	skp skd skt skm
application/vnd.kodak-descriptor	sse
application/vnd.las	vnd.las
application/vnd.las.las+json	vnd.las.las+json
application/vnd.las.las+xml	lasxml
application/vnd.laszip	vnd.laszip
application/vnd.ldev.productlicensing	vnd.ldev.productlicensing
application/vnd.leap+json	vnd.leap+json
application/vnd.liberty-request+xml	vnd.liberty-request+xml
application/vnd.llamagraphics.life-balance.desktop	lbd
application/vnd.llamagraphics.life-balance.exchange+xml	lbe
application/vnd.logipipe.circuit+zip	vnd.logipipe.circuit+zip
application/vnd.loom	vnd.loom
application/vnd.lotus-1-2-3	123
application/vnd.lotus-approach	apr
application/vnd.lotus-freelance	pre
application/vnd.lotus-notes	nsf
application/vnd.lotus-organizer	org
application/vnd.lotus-screencam	scm
application/vnd.lotus-wordpro	lwp
application/vnd.macports.portpkg	portpkg
application/vnd.majikah.bundle	vnd.majikah.bundle
application/vnd.maml	vnd.maml
application/vnd.mapbox-vector-tile	vnd.mapbox-vector-tile
application/vnd.marlin.drm.actiontoken+xml	vnd.marlin.drm.actiontoken+xml
application/vnd.marlin.drm.conftoken+xml	vnd.marlin.drm.conftoken+xml
application/vnd.marlin.drm.license+xml	vnd.marlin.drm.license+xml
application/vnd.marlin.drm.mdcf	vnd.marlin.drm.mdcf
application/vnd.mason+json	vnd.mason+json
application/vnd.maxar.archive.3tz+zip	vnd.maxar.archive.3tz+zip
application/vnd.maxmind.maxmind-db	vnd.maxmind.maxmind-db
application/vnd.mcd	mcd
application/vnd.mdl	vnd.mdl
application/vnd.mdl-mbsdf	vnd.mdl-mbsdf
application/vnd.medcalcdata	mc1
application/vnd.mediastation.cdkey	cdkey
application/vnd.medicalholodeck.recordxr	vnd.medicalholodeck.recordxr
application/vnd.meridian-slingshot	vnd.meridian-slingshot
application/vnd.mermaid	vnd.mermaid
application/vnd.MFER	mwf
application/vnd.mfmp	mfm
application/vnd.micro+json	vnd.micro+json
application/vnd.micrografx.flo	flo
application/vnd.micrografx.igx	igx
application/vnd.microsoft.portable-executable	vnd.microsoft.portable-executable
application/vnd.microsoft.windows.thumbnail-cache	vnd.microsoft.windows.thumbnail-cache
application/vnd.miele+json	vnd.miele+json
application/vnd.mif	mif
application/vnd.minisoft-hp3000-save	vnd.minisoft-hp3000-save
application/vnd.mitsubishi.misty-guard.trustweb	vnd.mitsubishi.misty-guard.trustweb
application/vnd.Mobius.DAF	daf
application/vnd.Mobius.DIS	dis
application/vnd.Mobius.MBK	mbk
application/vnd.Mobius.MQY	mqy
application/vnd.Mobius.MSL	msl
application/vnd.Mobius.PLC	plc
application/vnd.Mobius.TXF	txf
application/vnd.modl	vnd.modl
application/vnd.mophun.application	mpn
application/vnd.mophun.certificate	mpc
application/vnd.motorola.flexsuite	vnd.motorola.flexsuite
application/vnd.motorola.flexsuite.adsi	vnd.motorola.flexsuite.adsi
application/vnd.motorola.flexsuite.fis	vnd.motorola.flexsuite.fis
application/vnd.motorola.flexsuite.gotap	vnd.motorola.flexsuite.gotap
application/vnd.motorola.flexsuite.kmr	vnd.motorola.flexsuite.kmr
application/vnd.motorola.flexsuite.ttc	vnd.motorola.flexsuite.ttc
application/vnd.motorola.flexsuite.wem	vnd.motorola.flexsuite.wem
application/vnd.motorola.iprm	vnd.motorola.iprm
application/vnd.mozilla.xul+xml	xul
application/vnd.ms-3mfdocument	vnd.ms-3mfdocument
application/vnd.ms-artgalry	cil
application/vnd.ms-asf	vnd.ms-asf
application/vnd.ms-cab-compressed	cab
application/vnd.ms-excel	xls xlm xla xlc xlt xlw
application/vnd.ms-excel.addin.macroEnabled.12	xlam
application/vnd.ms-excel.sheet.binary.macroEnabled.12	xlsb
application/vnd.ms-excel.sheet.macroEnabled.12	xlsm
application/vnd.ms-excel.template.macroEnabled.12	xltm
application/vnd.ms-fontobject	eot
application/vnd.ms-htmlhelp	chm
application/vnd.ms-ims	ims
application/vnd.ms-lrm	lrm
application/vnd.ms-office.activeX+xml	vnd.ms-office.activex+xml
application/vnd.ms-officetheme	thmx
application/vnd.ms-playready.initiator+xml	vnd.ms-playready.initiator+xml
application/vnd.ms-powerpoint	ppt pps pot
application/vnd.ms-powerpoint.addin.macroEnabled.12	ppam
application/vnd.ms-powerpoint.presentation.macroEnabled.12	pptm
application/vnd.ms-powerpoint.slide.macroEnabled.12	sldm
application/vnd.ms-powerpoint.slideshow.macroEnabled.12	ppsm
application/vnd.ms-powerpoint.template.macroEnabled.12	potm
application/vnd.ms-PrintDeviceCapabilities+xml	vnd.ms-printdevicecapabilities+xml
application/vnd.ms-PrintSchemaTicket+xml	vnd.ms-printschematicket+xml
application/vnd.ms-project	mpp mpt
application/vnd.ms-tnef	vnd.ms-tnef
application/vnd.ms-windows.devicepairing	vnd.ms-windows.devicepairing
application/vnd.ms-windows.nwprinting.oob	vnd.ms-windows.nwprinting.oob
