# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/fastinfoset	fastinfoset
application/fastsoap	fastsoap
application/fdf	x-iana-fdf
application/fdt+xml	fdt+xml
application/fhir+json	fhir+json
application/fhir+xml	fhir+xml
application/fits	fits
application/flexfec	flexfec
application/font-sfnt	font-sfnt
application/font-tdpfr	pfr
application/font-woff	font-woff
application/framework-attributes+xml	framework-attributes+xml
application/geo+json	geo+json
application/geo+json-seq	geo+json-seq
application/geofeed+csv	geofeed+csv
application/geopackage+sqlite3	geopackage+sqlite3
application/geopose+json	geopose+json
application/geoxacml+json	geoxacml+json
application/geoxacml+xml	geoxacml+xml
application/gltf-buffer	gltf-buffer
application/gml+xml	gml
application/gnap-binding-jws	gnap-binding-jws
application/gnap-binding-jwsd	gnap-binding-jwsd
application/gnap-binding-rotation-jws	gnap-binding-rotation-jws
application/gnap-binding-rotation-jwsd	gnap-binding-rotation-jwsd
application/grib	grib
application/gzip	gzip
application/H224	h224
application/held+xml	held+xml
application/hl7v2+xml	hl7v2+xml
application/http	http
application/hyperstudio	stk
application/ibe-key-request+xml	ibe-key-request+xml
application/ibe-pkg-reply+xml	ibe-pkg-reply+xml
application/ibe-pp-data	ibe-pp-data
application/iges	x-iana-iges
application/im-iscomposing+xml	im-iscomposing+xml
application/index	index
application/index.cmd	index.cmd
application/index.obj	index.obj
application/index.response	index.response
application/index.vnd	index.vnd
application/inkml+xml	ink inkml
application/IOTP	iotp
application/ipfix	ipfix
application/ipp	ipp
application/ISUP	isup
application/its+xml	its+xml
application/java-archive	jar
application/javascript	js
application/jf2feed+json	jf2feed+json
application/jose	jose
application/jose+json	jose+json
application/jrd+json	jrd+json
application/jscalendar+json	jscalendar+json
application/jscontact+json	jscontact+json
application/json	json
application/json-patch+json	json-patch+json
application/json-patch-query+json	json-patch-query+json
application/json-seq	json-seq
application/jsonpath	jsonpath
application/jwk+json	jwk+json
application/jwk-set+json	jwk-set+json
application/jwk-set+jwt	jwk-set+jwt
application/jwt	jwt
application/kb+jwt	kb+jwt
application/kbl+xml	kbl+xml
application/kpml-request+xml	kpml-request+xml
application/kpml-response+xml	kpml-response+xml
application/ld+json	ld+json
application/lgr+xml	lgr+xml
application/link-format	link-format
application/linkset	linkset
application/linkset+json	linkset+json
application/load-control+xml	load-control+xml
application/logout+jwt	logout+jwt
application/lost+xml	lostxml
application/lostsync+xml	lostsync+xml
application/lpf+zip	lpf+zip
application/LXF	lxf
application/mac-binhex40	hqx
application/macwriteii	macwriteii
application/mads+xml	mads
application/manifest+json	manifest+json
application/marc	mrc
application/marcxml+xml	mrcx
application/mathematica	ma nb mb
application/mathml+xml	mathml
application/mathml-content+xml	mathml-content+xml
application/mathml-presentation+xml	mathml-presentation+xml
application/mbms-associated-procedure-description+xml	mbms-associated-procedure-description+xml
application/mbms-deregister+xml	mbms-deregister+xml
application/mbms-envelope+xml	mbms-envelope+xml
application/mbms-msk+xml	mbms-msk+xml
application/mbms-msk-response+xml	mbms-msk-response+xml
application/mbms-protection-description+xml	mbms-protection-description+xml
application/mbms-reception-report+xml	mbms-reception-report+xml
application/mbms-register+xml	mbms-register+xml
application/mbms-register-response+xml	mbms-register-response+xml
application/mbms-schedule+xml	mbms-schedule+xml
application/mbms-user-service-description+xml	mbms-user-service-description+xml
application/mbox	mbox
application/measured-component+cbor	measured-component+cbor
application/measured-component+json	measured-component+json
application/media-policy-dataset+xml	media-policy-dataset+xml
application/media_control+xml	media_control+xml
application/mediaservercontrol+xml	mscml
application/merge-patch+json	merge-patch+json
application/metalink4+xml	meta4
application/mets+xml	mets
application/MF4	mf4
application/mikey	mikey
application/mipc	mipc
application/missing-blocks+cbor-seq	missing-blocks+cbor-seq
application/mmt-aei+xml	mmt-aei+xml
application/mmt-usd+xml	mmt-usd+xml
application/mods+xml	mods
application/moss-keys	moss-keys
application/moss-signature	moss-signature
application/mosskey-data	mosskey-data
application/mosskey-request	mosskey-request
application/mp21	m21 mp21
application/mp4	mp4s
application/mpeg4-generic	mpeg4-generic
application/mpeg4-iod	mpeg4-iod
application/mpeg4-iod-xmt	mpeg4-iod-xmt
application/mrb-consumer+xml	mrb-consumer+xml
application/mrb-publish+xml	mrb-publish+xml
application/msc-ivr+xml	msc-ivr+xml
application/msc-mixer+xml	msc-mixer+xml
application/msword	doc dot
application/mud+json	mud+json
application/multipart-core	multipart-core
application/mxf	mxf
application/n-quads	n-quads
application/n-triples	n-triples
application/nasdata	nasdata
application/news-checkgroups	news-checkgroups
application/news-groupinfo	news-groupinfo
application/news-transmission	news-transmission
application/nlsml+xml	nlsml+xml
application/node	node
application/nss	nss
application/oauth-authz-req+jwt	oauth-authz-req+jwt
application/oblivious-dns-message	oblivious-dns-message
application/ocsp-request	ocsp-request
application/ocsp-response	ocsp-response
application/octet-stream	bin dms lrf mar so dist distz pkg bpk dump elc deploy
application/ODA	oda
application/odm+xml	odm+xml
application/ODX	odx
application/oebps-package+xml	opf
application/ogg	ogx
application/ohttp-keys	ohttp-keys
application/opc-nodeset+xml	opc-nodeset+xml
application/oscore	oscore
application/oxps	oxps
application/p21	p21
application/p21+zip	p21+zip
application/p2p-overlay+xml	p2p-overlay+xml
application/parityfec	parityfec
application/passport	passport
application/patch-ops-error+xml	xer
application/pdf	pdf
application/PDX	pdx
application/pem-certificate-chain	pem-certificate-chain
application/pgp-encrypted	pgp
application/pgp-keys	pgp-keys
application/pgp-signature	asc sig
application/pidf+xml	pidf+xml
application/pidf-diff+xml	pidf-diff+xml
application/pkcs10	p10
application/pkcs12	pkcs12
application/pkcs7-mime	p7m p7c
application/pkcs7-signature	p7s
application/pkcs8	p8
application/pkcs8-encrypted	pkcs8-encrypted
application/pkix-attr-cert	ac
application/pkix-cert	cer
application/pkix-crl	crl
application/pkix-pkipath	pkipath
application/pkixcmp	pki
application/pls+xml	pls
application/poc-settings+xml	poc-settings+xml
application/postscript	ai eps ps
application/ppsp-tracker+json	ppsp-tracker+json
application/private-token-issuer-directory	private-token-issuer-directory
application/private-token-request	private-token-request
application/private-token-response	private-token-response
application/problem+json	problem+json
application/problem+xml	problem+xml
application/protobuf	protobuf
application/protobuf+json	protobuf+json
application/provenance+xml	provenance+xml
application/provided-claims+jwt	provided-claims+jwt
application/prs.alvestrand.titrax-sheet	prs.alvestrand.titrax-sheet
application/prs.bwtc32key	prs.bwtc32key
application/prs.cww	cww
application/prs.cyn	prs.cyn
application/prs.hpub+zip	prs.hpub+zip
application/prs.implied-document+xml	prs.implied-document+xml
